entity_id, value
48001,.096
48003,.076
48005,.089
48007,.073
48009,.065
48011,.051
48013,.079
48015,.084
48017,.052
48019,.068
48021,.08
48023,.051
48025,.103
48027,.071
48029,.072
48031,.058
48033,.062
48035,.086
48037,.078
48039,.089
48041,.062
48043,.051
48045,.059
48047,.099
48049,.072
48051,.074
48053,.063
48055,.082
48057,.095
48059,.063
48061,.108
48063,.096
48065,.067
48067,.125
48069,.053
48071,.107
48073,.097
48075,.064
48077,.074
48079,.072
48081,.086
48083,.069
48085,.078
48087,.059
48089,.066
48091,.066
48093,.061
48095,.082
48097,.065
48099,.087
48101,.056
48103,.095
48105,.097
48107,.07
48109,.045
48111,.044
48113,.087
48115,.087
48117,.058
48119,.084
48121,.077
48123,.083
48125,.06
48127,.11
48129,.07
48131,.125
48133,.084
48135,.092
48137,.067
48139,.086
48141,.098
48143,.071
48145,.095
48147,.09
48149,.057
48151,.064
48153,.069
48155,.057
48157,.083
48159,.073
48161,.067
48163,.084
48165,.068
48167,.085
48169,.057
48171,.049
48173,.052
48175,.079
48177,.061
48179,.089
48181,.087
48183,.08
48185,.1
48187,.067
48189,.064
48191,.089
48193,.06
48195,.055
48197,.072
48199,.101
48201,.085
48203,.087
48205,.043
48207,.052
48209,.068
48211,.03
48213,.085
48215,.116
48217,.085
48219,.07
48221,.076
48223,.065
48225,.103
48227,.075
48229,.065
48231,.085
48233,.08
48235,.054
48237,.064
48239,.076
48241,.119
48243,.056
48245,.108
48247,.1
48249,.1
48251,.091
48253,.082
48255,.105
48257,.088
48259,.06
48261,.061
48263,.062
48265,.06
48267,.054
48269,.054
48271,.089
48273,.077
48275,.064
48277,.078
48279,.066
48281,.061
48283,.099
48285,.064
48287,.069
48289,.079
48291,.112
48293,.072
48295,.061
48297,.076
48299,.073
48301,.115
48303,.057
48305,.068
48307,.091
48309,.071
48311,.078
48313,.087
48315,.118
48317,.05
48319,.054
48321,.112
48323,.136
48325,.071
48327,.09
48329,.062
48331,.102
48333,.06
48335,.087
48337,.078
48339,.079
48341,.053
48343,.156
48345,.053
48347,.07
48349,.084
48351,.124
48353,.064
48355,.077
48357,.063
48359,.055
48361,.111
48363,.091
48365,.075
48367,.084
48369,.048
48371,.117
48373,.103
48375,.066
48377,.178
48379,.085
48381,.051
48383,.058
48385,.061
48387,.105
48389,.14
48391,.07
48393,.062
48395,.087
48397,.078
48399,.101
48401,.091
48403,.159
48405,.108
48407,.1
48409,.098
48411,.078
48413,.111
48415,.072
48417,.043
48419,.081
48421,.049
48423,.083
48425,.073
48427,.178
48429,.069
48431,.046
48433,.048
48435,.078
48437,.067
48439,.082
48441,.061
48443,.078
48445,.077
48447,.056
48449,.077
48451,.07
48453,.07
48455,.088
48457,.105
48459,.081
48461,.056
48463,.089
48465,.096
48467,.074
48469,.079
48471,.078
48473,.09
48475,.085
48477,.069
48479,.091
48481,.079
48483,.056
48485,.081
48487,.055
48489,.139
48491,.078
48493,.069
48495,.09
48497,.096
48499,.084
48501,.071
48503,.076
48505,.12
48507,.164
